Página,Producto,Precio_Oferta,Link
1,Silla Oficina Giratoria Ergonómica De Malla Altura Ajustable Negro Tela,47.3,https://www.mercadolibre.com.ec/silla-oficina-giratoria-ergonomica-de-malla-altura-ajustable/up/MECU3568333870?pdp_filters=deal%3AMEC1008444-1#polycard_client=offers&deal_print_id=4f2c92ae-aa40-42ba-9982-52195ec4113a&position=28&tracking_id=d297f6d3-456e-411d-bd4b-fff7dae3ce6d&wid=MEC714324674&sid=offers
1,Camiseta Americanino 840d001 Rojo,27.54,https://articulo.mercadolibre.com.ec/MEC-574808574-camiseta-americanino-840d001-rojo-_JM?searchVariation=180620248844#polycard_client=offers&deal_print_id=4f2c92ae-aa40-42ba-9982-52195ec4113a&position=29&tracking_id=d297f6d3-456e-411d-bd4b-fff7dae3ce6d
1,Pulsera Bts Personajes Bt21 Tata Koya Rj Mang Chimmy Cooky Bt21 Koya,8.55,https://www.mercadolibre.com.ec/pulsera-bts-personajes-bt21-tata-koya-rj-mang-chimmy-cooky/up/MECU3657421479?pdp_filters=deal%3AMEC1008444-1#polycard_client=offers&deal_print_id=4f2c92ae-aa40-42ba-9982-52195ec4113a&position=30&tracking_id=d297f6d3-456e-411d-bd4b-fff7dae3ce6d&wid=MEC726102832&sid=offers
1,Masajeador Portátil De Cuello Y Hombros Con Dedos Shiatsu Verde Musgo,65.59,https://www.mercadolibre.com.ec/masajeador-portatil-de-cuello-y-hombros-con-dedos-shiatsu/up/MECU3670742752?pdp_filters=deal%3AMEC1008444-1#polycard_client=offers&deal_print_id=4f2c92ae-aa40-42ba-9982-52195ec4113a&position=31&tracking_id=d297f6d3-456e-411d-bd4b-fff7dae3ce6d&wid=MEC727428622&sid=offers
1,Peluche Bt21 Shooky Suga Colgante 10cm Kpop De Colección Bts,8.55,https://www.mercadolibre.com.ec/peluche-bt21-shooky-suga-colgante-10cm-kpop-de-coleccion-bts/up/MECU2438907792?pdp_filters=deal%3AMEC1008444-1#polycard_client=offers&deal_print_id=4f2c92ae-aa40-42ba-9982-52195ec4113a&position=32&tracking_id=d297f6d3-456e-411d-bd4b-fff7dae3ce6d&wid=MEC518154671&sid=offers
1,70mai A810 Dashcam 4khdr Sony Starvis2 Doble Camara 4g Remot,241.99,https://www.mercadolibre.com.ec/70mai-a810-dashcam-4khdr-sony-starvis2-doble-camara-4g-remot/up/MECU2438864382?pdp_filters=deal%3AMEC1008444-1#polycard_client=offers&deal_print_id=4f2c92ae-aa40-42ba-9982-52195ec4113a&position=33&tracking_id=d297f6d3-456e-411d-bd4b-fff7dae3ce6d&wid=MEC560677926&sid=offers
1,Zapatillas Urbanas De Mujer Marca West Pro Beige 36 Eu,49.2,https://www.mercadolibre.com.ec/zapatillas-urbanas-de-mujer-marca-west-pro/up/MECU3758296784?pdp_filters=deal%3AMEC1008444-1#polycard_client=offers&deal_print_id=4f2c92ae-aa40-42ba-9982-52195ec4113a&position=34&tracking_id=d297f6d3-456e-411d-bd4b-fff7dae3ce6d&wid=MEC755548750&sid=offers
1,1 Par Tapones Silicona Reutilizables Dormir Estudiar Mejor Naranja,7.74,https://www.mercadolibre.com.ec/1-par-tapones-silicona-reutilizables-dormir-estudiar-mejor/up/MECU3484655583?pdp_filters=deal%3AMEC1008444-1#polycard_client=offers&deal_print_id=4f2c92ae-aa40-42ba-9982-52195ec4113a&position=35&tracking_id=d297f6d3-456e-411d-bd4b-fff7dae3ce6d&wid=MEC686765138&sid=offers
1,Sensor Maf Toyota Yaris Corolla Rav4 Original Denso,140.0,https://www.mercadolibre.com.ec/sensor-maf-toyota-yaris-corolla-rav4-original-denso/up/MECU2434044951?pdp_filters=deal%3AMEC1008444-1#polycard_client=offers&deal_print_id=4f2c92ae-aa40-42ba-9982-52195ec4113a&position=36&tracking_id=d297f6d3-456e-411d-bd4b-fff7dae3ce6d&wid=MEC554568352&sid=offers
1,Botas Para Excursión De Hombres Gris 39,63.95,https://www.mercadolibre.com.ec/botas-para-excursion-de-hombres/up/MECU3497057617?pdp_filters=deal%3AMEC1008444-1#polycard_client=offers&deal_print_id=4f2c92ae-aa40-42ba-9982-52195ec4113a&position=37&tracking_id=d297f6d3-456e-411d-bd4b-fff7dae3ce6d&wid=MEC693732700&sid=offers
